title,artists,year,rank
"""I Don't Want To"" / ""I Love Me Some Him""",Toni Braxton,1997,59
"""My Baby Daddy""",B-Rock and the Bizz,1997,68
"""ESPN Presents The Jock Jam""",Various Artists,1997,72
"""Macarena (Bayside Boys Mix)""",Los del Río,1997,82
"""Don't Wanna Be a Player""",Joe,1997,84
"""You Should Be Mine (Don't Waste Your Time)""",Brian McKnight featuring Mase,1997,86
"""Don't Cry for Me Argentina""",Madonna,1997,87
"""When You're Gone"" / ""Free to Decide""",The Cranberries,1997,95
"""I Like It""",The Blackout All-Stars,1997,97
"""You're Makin' Me High"" / ""Let It Flow""",Toni Braxton,1997,98
"""You're Still the One""",Shania Twain,1998,3
"""I Don't Want to Wait""",Paula Cole,1998,10
"""Been Around the World""",Puff Daddy featuring The Notorious B.I.G. and Mase,1998,19
"""I Don't Want to Miss a Thing""",Aerosmith,1998,23
"""I Don't Ever Want to See You Again""",Uncle Sam,1998,26
"""They Don't Know""",Jon B.,1998,39
"""Come with Me""",Puff Daddy featuring Jimmy Page,1998,47
"""Romeo and Juliet""",Sylk-E. Fyne featuring Chill,1998,48
"""We're Not Making Love No More""",Dru Hill,1998,56
"""Lately""",Divine,1998,61
"""Victory""",Puff Daddy featuring The Notorious B.I.G. and Busta Rhymes,1998,68
"""Turn It Up (Remix)/Fire It Up""",Busta Rhymes,1998,73
"""I'll Be""",Edwin McCain,1998,74
"""Foolish Games"" / ""You Were Meant for Me""",Jewel,1998,87
"""I'm Your Angel""",R. Kelly and Celine Dion,1999,16
"""Lately""",Divine,1999,31
"""That Don't Impress Me Much""",Shania Twain,1999,32
"""I Don't Want to Miss a Thing""",Mark Chesnutt,1999,67
"""Almost Doesn't Count""",Brandy,1999,76
"""A Lesson in Leavin'""",Jo Dee Messina,1999,93
"""Satisfy You""",Puff Daddy featuring R. Kelly,1999,95
"""He Wasn't Man Enough""",Toni Braxton,2000,10
"""Doesn't Really Matter""",Janet Jackson,2000,18
"""Most Girls""",Pink,2000,52
"""He Can't Love U""",Jagged Edge,2000,62
"""Faded""",soulDecision featuring Thrust,2000,66
"""What'chu Like""",Da Brat featuring Tyrese,2000,85
"""Don't Think I'm Not""",Kandi,2000,86
"""Bounce with Me""",Lil' Bow Wow featuring Xscape,2000,94
"""Cowboy Take Me Away""",Dixie Chicks,2000,95
"""I Don't Wanna""",Aaliyah,2000,96
"""I'm Real (Murder Remix)""",Jennifer Lopez featuring Ja Rule,2001,5
"""If You're Gone""",Matchbox Twenty,2001,6
"""Love Don't Cost a Thing""",Jennifer Lopez,2001,26
"""He Loves U Not""",Dream,2001,28
"""Don't Tell Me""",Madonna,2001,34
"""I'm Like a Bird""",Nelly Furtado,2001,43
"""There You'll Be""",Faith Hill,2001,66
"""No More (Baby I'ma Do Right)""",3LW,2001,69
"""Ain't Nothing 'bout You""",Brooks & Dunn,2001,71
"""I'm Already There""",Lonestar,2001,73
"""Grown Men Don't Cry""",Tim McGraw,2001,78
"""Don't Happen Twice""",Kenny Chesney,2001,85
"""I'm a Thug""",Trick Daddy,2001,89
"""You Shouldn't Kiss Me Like This""",Toby Keith,2001,91
"""Get Over Yourself""",Eden's Crush,2001,92
"""Most Girls""",Pink,2001,97
"""Ain't It Funny (Murder Remix)""",Jennifer Lopez featuring Ja Rule,2002,13
"""U Don't Have to Call""",Usher,2002,16
"""Get the Party Started""",Pink,2002,24
"""I'm Gonna Be Alright""",Jennifer Lopez featuring Nas,2002,29
"""Don't Let Me Get Me""",Pink,2002,36
"""Addictive""",Truth Hurts featuring Rakim,2002,40
"""Just Like a Pill""",Pink,2002,43
"""Down 4 U""","Ja Rule featuring Ashanti, Charli Baltimore and Vita",2002,44
"""Can't Get You Out of My Head""",Kylie Minogue,2002,45
"""Move Bitch""",Ludacris featuring Mystikal and I-20,2002,55
"""Can't Fight the Moonlight""",LeAnn Rimes,2002,56
"""If I Could Go!""",Angie Martinez featuring Lil' Mo and Sacario,2002,69
"""Long Time Gone""",Dixie Chicks,2002,97
"""When I'm Gone""",3 Doors Down,2003,5
"""I'm with You""",Avril Lavigne,2003,18
"""Can't Let You Go""",Fabolous featuring Lil' Mo and Mike Shorey,2003,24
"""Don't Mess with My Man""",Nivea featuring Jagged Edge,2003,38
"""The Remedy (I Won't Worry)""",Jason Mraz,2003,52
"""Why Don't You & I""",Santana featuring Alex Band,2003,53
"""If You're Not the One""",Daniel Bedingfield,2003,60
"""It's Five O'Clock Somewhere""",Alan Jackson featuring Jimmy Buffett,2003,65
"""Can't Hold Us Down""",Christina Aguilera featuring Lil' Kim,2003,67
"""Don't Wanna Try""",Frankie J,2003,71
"""Can't Stop, Won't Stop""",Young Gunz,2003,85
"""Don't Know Why""",Norah Jones,2003,97
"""If I Ain't Got You""",Alicia Keys,2004,3
"""I Don't Wanna Know""",Mario Winans featuring Enya and P. Diddy,2004,7
"""You Don't Know My Name""",Alicia Keys,2004,29
"""I'm Still in Love with You""",Sean Paul featuring Sasha,2004,60
"""Fuck It (I Don't Want You Back)""",Eamon,2004,63
"""U Should've Known Better""",Monica,2004,72
"""Why Don't You & I""",Santana featuring Alex Band,2004,75
"""Don't Tell Me""",Avril Lavigne,2004,92
"""Don't Cha""",The Pussycat Dolls featuring Busta Rhymes,2005,9
"""Don't Phunk with My Heart""",The Black Eyed Peas,2005,13
"""Obsession (No Es Amor)""",Frankie J featuring Baby Bash,2005,33
"""Sugar, We're Goin Down""",Fall Out Boy,2005,40
"""Soul Survivor""",Young Jeezy featuring Akon,2005,52
"""I Don't Want to Be""",Gavin DeGraw,2005,58
"""Baby I'm Back""",Baby Bash featuring Akon,2005,62
"""U Don't Know Me""",T.I.,2005,79
"""Don't Lie""",The Black Eyed Peas,2005,81
"""I'm Sprung""",T-Pain,2005,95
"""Hips Don't Lie""",Shakira featuring Wyclef Jean,2006,5
"""Snap Yo Fingers""",Lil Jon featuring E-40 and Sean Paul,2006,24
"""Ain't No Other Man""",Christina Aguilera,2006,32
"""I'm 'n Luv (wit a Stripper)""",T-Pain featuring Mike Jones,2006,41
"""Where'd You Go""",Fort Minor featuring Holly Brook and Jonah Matranga,2006,43
"""Don't Forget About Us""",Mariah Carey,2006,50
"""Sugar, We're Goin Down""",Fall Out Boy,2006,68
"""Who Says You Can't Go Home""",Bon Jovi featuring Jennifer Nettles,2006,71
"""Call Me When You're Sober""",Evanescence,2006,77
"""Soul Survivor""",Young Jeezy featuring Akon,2006,88
"""When I'm Gone""",Eminem,2006,90
"""When You're Mad""",Ne-Yo,2006,94
"""Stupid Girls""",Pink,2006,96
"""I'm Sprung""",T-Pain,2006,98
"""For You I Will (Confidence)""",Teddy Geiger,2006,100
"""Big Girls Don't Cry""",Fergie,2007,4
"""Don't Matter""",Akon,2007,11
"""This Is Why I'm Hot""",Mims,2007,16
"""U + Ur Hand""",Pink,2007,29
"""This Ain't a Scene, It's an Arms Race""",Fall Out Boy,2007,32
"""What I've Done""",Linkin Park,2007,38
"""I'm a Flirt""",R. Kelly featuring T.I. and T-Pain,2007,49
"""Who Knew""",Pink,2007,69
"""Big Shit Poppin' (Do It)""",T.I.,2007,75
"""Go Getta""",Young Jeezy featuring R. Kelly,2007,80
"""Don't Stop the Music""",Rihanna,2008,17
"""Bust It Baby (Part 2)""",Plies featuring Ne-Yo,2008,38
"""Can't Believe It""",T-Pain featuring Lil Wayne,2008,46
"""Like You'll Never See Me Again""",Alicia Keys,2008,47
"""Big Girls Don't Cry""",Fergie,2008,78
"""Can't Help but Wait""",Trey Songz,2008,86
"""You're Gonna Miss This""",Trace Adkins,2008,93
"""Don't Trust Me""",3OH!3,2009,30
"""Please Don't Leave Me""",Pink,2009,52
"""Haven't Met You Yet""",Michael Bublé,2010,39
"""Club Can't Handle Me""",Flo Rida featuring David Guetta,2010,40
"""Live Like We're Dying""",Kris Allen,2010,48
"""Un-Thinkable (I'm Ready)""",Alicia Keys,2010,78
"""The Way You Make Me Feel""",Micheal Jackson,2011,6
"""Just Can't Get Enough""",The Black Eyed Peas,2011,10
"""Tonight (I'm Lovin' You)""",Enrique Iglesias featuring Ludacris and DJ Frank E,2011,16
"""Coming Home""",Diddy – Dirty Money featuring Skylar Grey,2011,38
"""I'm on One""","DJ Khaled featuring Drake, Rick Ross and Lil Wayne",2011,47
"""Don't You Wanna Stay""",Jason Aldean featuring Kelly Clarkson,2011,68
"""Don't Wanna Go Home""",Jason Derulo,2011,87
"""She Ain't You""",Chris Brown,2011,89
"""Please Don't Go""",Mike Posner,2011,91
"""Stronger (What Doesn't Kill You)""",Kelly Clarkson,2012,7
"""I Won't Give Up""",Jason Mraz,2012,25
"""Blow Me (One Last Kiss)""",Pink,2012,37
"""Niggas in Paris""",Jay-Z and Kanye West,2012,40
"""Don't Wake Me Up""",Chris Brown,2012,56
"""5 O'Clock""",T-Pain featuring Wiz Khalifa and Lily Allen,2012,86
"""I Don't Want This Night to End""",Luke Bryan,2012,93
"""Can't Hold Us""",Macklemore & Ryan Lewis featuring Ray Dalton,2013,5
"""We Can't Stop""",Miley Cyrus,2013,17
"""Don't You Worry Child""",Swedish House Mafia featuring John Martin,2013,26
"""Hold On, We're Going Home""",Drake featuring Majid Jordan,2013,34
"""Fuckin' Problems""","ASAP Rocky featuring Drake, 2 Chainz and Kendrick Lamar",2013,41
"""Highway Don't Care""",Tim McGraw featuring Taylor Swift and Keith Urban,2013,77
"""I'm Different""",2 Chainz,2013,99
"""Don't Tell 'Em""",Jeremih featuring YG,2014,42
"""Ain't It Fun""",Paramore,2014,47
"""Don't""",Ed Sheeran,2014,52
"""Hold On, We're Going Home""",Drake featuring Majid Jordan,2014,55
"""Can't Remember to Forget You""",Shakira featuring Rihanna,2014,85
"""I Don't Dance""",Lee Brice,2014,98
"""Can't Feel My Face""",The Weeknd,2015,12
"""Honey, I'm Good.""",Andy Grammer,2015,25
"""G.D.F.R.""",Flo Rida featuring Sage the Gemini and Lookas,2015,32
"""I Don't Fuck with You""",Big Sean featuring E-40,2015,47
"""I Don't Mind""",Usher featuring Juicy J,2015,55
"""Like I'm Gonna Lose You""",Meghan Trainor featuring John Legend,2015,76
"""Don't""",Ed Sheeran,2015,92
"""Don't Let Me Down""",The Chainsmokers featuring Daya,2016,8
"""Can't Stop the Feeling!""",Justin Timberlake,2016,9
"""Just Like Fire""",Pink,2016,33
"""Don't""",Bryson Tiller,2016,35
"""Like I'm Gonna Lose You""",Meghan Trainor featuring John Legend,2016,42
"""Don't Mind""",Kent Jones,2016,48
"""We Don't Talk Anymore""",Charlie Puth featuring Selena Gomez,2016,50
"""Can't Feel My Face""",The Weeknd,2016,72
"""I'm the One""","DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne",2017,12
"""Don't Wanna Know""",Maroon 5 featuring Kendrick Lamar,2017,38
"""Can't Stop the Feeling!""",Justin Timberlake,2017,49
"""What About Us""",Pink,2017,84
"""Boo'd Up""",Ella Mai,2018,15
"""Plain Jane""",ASAP Ferg featuring Nicki Minaj,2018,74
"""Te Boté""","Nio García, Darell and Casper Mágico featuring Bad Bunny, Nicky Jam and Ozuna",2018,81
"""I'm Upset""",Drake,2018,86
"""I Don't Care""",Ed Sheeran and Justin Bieber,2019,16
"""If I Can't Have You""",Shawn Mendes,2019,29
"""Break Up with Your Girlfriend, I'm Bored""",Ariana Grande,2019,36
"""Walk Me Home""",Pink,2019,99
